Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
"designer, jewellery",transportation,increasing,low,47702.69,bachelor’s degree,10,7418,2511,99.59,49.92,china,22.14
metallurgist,retail,decreasing,moderate,88319.62,phd,2,668,1109,48.96,62.48,china,63.24
armed forces training and education officer,manufacturing,decreasing,high,75967.23,phd,1,7004,5810,47.95,92.74,usa,66.08
"physicist, medical",education,increasing,moderate,94644.12,associate degree,11,9523,6045,26.36,87.54,australia,22.47
field seismologist,entertainment,decreasing,low,80499.58,phd,9,6645,7026,63.47,56.35,uk,50.99
"engineer, electronics",manufacturing,decreasing,moderate,80767.59,master’s degree,8,9247,1601,79.17,90.7,brazil,43.29
magazine features editor,transportation,increasing,low,107109.48,bachelor’s degree,5,1518,5007,28.99,31.58,china,72.91
freight forwarder,education,decreasing,moderate,134381.8,high school,3,2720,8437,31.88,55.14,india,75.44
drilling engineer,education,decreasing,low,107690.42,phd,13,2617,9134,62.86,48.61,brazil,69.16
"scientist, forensic",education,decreasing,moderate,68548.16,master’s degree,17,232,9099,58.92,80.78,usa,26.55
science writer,education,increasing,low,109140.89,phd,11,7825,1759,4.11,84.06,india,38.34
"journalist, broadcasting",manufacturing,decreasing,moderate,114892.48,bachelor’s degree,4,2931,5213,92.25,30.7,usa,47.52
"lighting technician, broadcasting/film/video",education,increasing,moderate,65095.12,master’s degree,16,6913,3683,67.8,70.46,india,52.73
location manager,transportation,decreasing,low,54779.34,master’s degree,4,9190,2172,52.52,16.56,germany,51.66
research scientist (physical sciences),transportation,decreasing,moderate,124336.21,bachelor’s degree,9,5520,8753,23.07,12.25,china,79.44
industrial buyer,healthcare,decreasing,low,72624.76,master’s degree,7,7764,2150,91.71,83.45,china,57.52
environmental manager,it,increasing,low,47947.05,phd,6,361,8073,88.65,81.81,brazil,61.39
"engineer, broadcasting (operations)",entertainment,decreasing,low,118968.07,bachelor’s degree,5,256,8266,86.56,2.11,canada,21.8
"scientist, research (physical sciences)",manufacturing,decreasing,moderate,30709.84,bachelor’s degree,5,5532,7395,45.19,67.77,germany,62.86
private music teacher,finance,decreasing,moderate,85277.1,high school,16,5959,3126,97.19,60.79,brazil,32.85
child psychotherapist,healthcare,decreasing,low,127376.08,bachelor’s degree,8,5721,6782,82.76,69.54,australia,37.4
tefl teacher,it,decreasing,low,95895.96,associate degree,10,3312,2729,87.32,65.16,germany,21.57
"therapist, art",education,decreasing,high,75903.05,bachelor’s degree,8,7462,5067,65.15,52.82,germany,64.85
gaffer,healthcare,decreasing,moderate,136595.59,bachelor’s degree,12,7569,4781,43.6,5.89,uk,51.08
press photographer,manufacturing,decreasing,high,51310.29,master’s degree,18,5148,5553,55.57,77.54,canada,62.37
archivist,healthcare,decreasing,low,95322.56,phd,12,7002,3838,20.58,14.22,australia,37.1
clinical cytogeneticist,education,increasing,moderate,138341.96,phd,3,8205,3565,59.01,62.1,india,72.97
facilities manager,healthcare,decreasing,low,136784.14,associate degree,8,1310,9300,93.2,43.96,brazil,69.1
physiological scientist,retail,decreasing,low,125412.49,phd,7,2751,3122,37.19,20.48,australia,65.29
industrial/product designer,healthcare,decreasing,low,72904.57,bachelor’s degree,17,8512,7772,86.45,94.64,australia,66.17
technical author,healthcare,decreasing,high,141533.43,master’s degree,17,3556,6385,11.63,77.87,canada,71.38
herpetologist,education,decreasing,low,130635.92,phd,8,9390,7334,28.4,30.22,australia,50.53
"accountant, chartered",healthcare,increasing,high,145069.84,associate degree,13,2489,7878,40.76,72.87,china,65.32
"engineer, civil (consulting)",finance,decreasing,high,45295.51,bachelor’s degree,20,1234,1355,12.96,32.26,uk,69.29
"surveyor, quantity",finance,decreasing,moderate,142863.34,bachelor’s degree,8,1241,3890,74.97,51.49,canada,28.07
clothing/textile technologist,entertainment,decreasing,moderate,148564.52,master’s degree,6,2724,9565,20.0,1.62,china,36.25
"scientist, biomedical",transportation,decreasing,moderate,139188.78,phd,14,7601,8872,92.21,76.57,india,79.0
firefighter,education,decreasing,low,137889.81,associate degree,6,7713,3498,6.99,0.12,australia,44.44
press photographer,finance,decreasing,moderate,88951.46,master’s degree,6,1038,5026,36.37,60.87,brazil,63.06
market researcher,manufacturing,decreasing,high,39349.95,high school,8,1228,4245,57.06,11.35,germany,45.91
copy,finance,decreasing,high,98889.01,phd,4,5280,6908,13.88,1.27,usa,23.06
public affairs consultant,transportation,increasing,moderate,133745.16,high school,19,4240,697,74.29,86.62,brazil,75.98
broadcast engineer,healthcare,decreasing,low,51483.65,associate degree,7,9162,7316,54.6,42.44,australia,69.96
clinical research associate,it,decreasing,high,71822.65,phd,7,2517,3352,24.61,96.16,germany,64.67
oceanographer,transportation,decreasing,low,149005.41,master’s degree,8,459,7753,49.54,45.84,australia,60.91
"physicist, medical",finance,decreasing,moderate,36830.07,bachelor’s degree,3,6616,2395,19.77,40.45,uk,46.99
music tutor,education,decreasing,low,78195.86,bachelor’s degree,13,9045,6374,11.86,85.39,australia,58.13
barrister's clerk,manufacturing,increasing,high,35169.47,high school,6,124,3609,22.02,71.96,usa,77.04
building control surveyor,transportation,increasing,moderate,109303.47,master’s degree,2,8048,9552,38.24,65.25,china,45.3
oceanographer,transportation,decreasing,low,53032.05,master’s degree,19,4679,5116,80.04,64.92,germany,22.08
"pharmacist, hospital",entertainment,increasing,moderate,78219.19,bachelor’s degree,2,4216,6097,13.57,81.83,uk,68.78
probation officer,manufacturing,decreasing,moderate,94878.37,phd,14,2442,6876,43.3,0.95,china,61.19
"designer, television/film set",retail,decreasing,high,116562.65,high school,14,9391,2082,4.56,42.91,uk,75.82
theatre manager,transportation,increasing,low,97555.96,associate degree,1,736,8323,7.63,59.88,canada,71.34
"programmer, systems",manufacturing,increasing,high,136118.86,bachelor’s degree,11,5990,987,56.87,36.29,australia,36.35
equality and diversity officer,entertainment,decreasing,low,107862.72,phd,4,382,2801,78.46,92.33,india,32.95
"engineer, automotive",entertainment,increasing,high,130027.8,associate degree,10,1800,2380,76.69,62.46,usa,47.43
public librarian,finance,decreasing,low,124367.3,high school,5,7335,8429,21.36,56.64,usa,76.71
customer service manager,healthcare,decreasing,high,97345.36,phd,7,9258,5985,25.38,18.02,germany,20.96
brewing technologist,retail,decreasing,high,112470.41,high school,8,5912,3159,47.71,23.09,australia,65.01
"psychotherapist, child",transportation,increasing,low,75460.18,associate degree,3,2337,8059,80.78,47.72,australia,30.5
exercise physiologist,manufacturing,decreasing,high,37620.83,master’s degree,3,512,266,12.58,26.47,uk,54.35
"research officer, government",entertainment,decreasing,low,43534.86,phd,12,791,8696,20.74,90.23,usa,62.92
counsellor,it,increasing,moderate,88368.14,associate degree,15,9672,5293,44.31,41.48,brazil,26.72
software engineer,transportation,increasing,low,80225.23,master’s degree,13,6228,4237,4.12,32.56,usa,26.79
social worker,transportation,increasing,high,59213.22,bachelor’s degree,7,3610,6617,73.29,25.58,usa,37.25
sport and exercise psychologist,entertainment,decreasing,moderate,65015.26,phd,15,6543,7254,25.81,26.37,uk,41.39
english as a foreign language teacher,entertainment,increasing,high,87622.26,phd,7,1000,2144,57.63,72.48,usa,36.76
english as a foreign language teacher,transportation,decreasing,moderate,92370.12,high school,16,8210,1129,27.25,53.81,canada,64.74
"teacher, secondary school",it,decreasing,high,128615.71,high school,18,309,6382,36.94,13.34,canada,66.88
special educational needs teacher,it,increasing,moderate,53376.77,associate degree,13,7535,5988,19.53,5.98,uk,34.17
telecommunications researcher,healthcare,decreasing,high,132272.33,bachelor’s degree,19,3753,3135,93.83,84.08,germany,52.64
animal technologist,it,decreasing,high,34102.05,master’s degree,7,4648,2439,83.76,62.46,india,29.84
optometrist,finance,decreasing,low,80819.47,phd,13,1658,3215,41.71,68.74,uk,36.67
town planner,entertainment,decreasing,high,92267.51,high school,9,2795,8588,97.5,17.27,china,44.56
"producer, television/film/video",retail,decreasing,high,43742.45,master’s degree,11,4533,4182,85.45,87.97,china,60.53
environmental manager,education,increasing,moderate,104096.6,master’s degree,6,858,5050,18.38,24.54,uk,52.13
"engineer, maintenance",entertainment,increasing,high,100747.62,bachelor’s degree,13,6499,7286,17.83,28.65,canada,24.09
sports development officer,healthcare,increasing,moderate,137715.9,associate degree,5,7831,6588,12.0,29.77,brazil,68.98
"psychologist, sport and exercise",entertainment,decreasing,low,124581.28,associate degree,6,5558,6700,15.3,41.39,germany,67.01
chartered legal executive (england and wales),entertainment,increasing,moderate,32769.2,associate degree,4,9812,9402,19.33,50.2,usa,73.52
land,healthcare,decreasing,high,99505.72,master’s degree,16,5445,330,70.08,31.3,china,51.62
operational investment banker,it,decreasing,moderate,99307.21,master’s degree,3,4174,8595,46.01,14.31,usa,76.15
it trainer,education,increasing,high,56995.49,high school,20,1815,805,33.92,61.01,canada,50.33
race relations officer,manufacturing,increasing,low,128297.95,master’s degree,19,3951,8826,69.15,72.03,brazil,59.32
"radiographer, diagnostic",manufacturing,increasing,low,139772.63,phd,13,4416,1362,44.26,72.04,china,55.23
armed forces training and education officer,entertainment,decreasing,high,137206.15,phd,19,8846,1198,8.88,73.11,usa,78.95
theme park manager,entertainment,decreasing,moderate,83086.45,high school,2,1442,6052,28.97,77.33,brazil,23.02
"administrator, arts",healthcare,increasing,moderate,117037.52,master’s degree,8,9420,3326,1.61,20.01,china,27.34
psychotherapist,entertainment,decreasing,low,36093.87,associate degree,17,354,4592,47.23,11.19,germany,27.43
"doctor, general practice",retail,increasing,low,111665.95,master’s degree,10,6255,9961,78.07,21.08,china,42.46
"conservation officer, nature",transportation,increasing,high,123490.44,high school,13,9053,6260,71.58,95.84,canada,74.48
academic librarian,it,increasing,moderate,125454.95,associate degree,9,2597,8041,61.06,3.51,china,28.93
"research officer, government",finance,increasing,moderate,33473.61,high school,15,3493,1427,7.59,72.9,china,27.5
trade mark attorney,it,increasing,low,48088.16,associate degree,1,4703,4720,5.37,75.3,canada,72.43
"engineer, broadcasting (operations)",entertainment,increasing,moderate,33058.97,associate degree,0,6419,816,12.17,52.14,germany,43.63
"engineer, electrical",education,decreasing,moderate,149492.67,master’s degree,5,6800,1060,93.06,49.34,australia,53.01
"civil engineer, contracting",education,decreasing,moderate,74156.98,associate degree,20,8193,1656,52.93,0.23,india,79.16
horticultural therapist,healthcare,increasing,high,139582.87,bachelor’s degree,7,6189,6368,14.6,83.16,usa,38.43
prison officer,it,increasing,low,148333.19,phd,14,1148,3240,27.39,85.45,china,34.98
broadcast presenter,healthcare,decreasing,low,94270.48,high school,5,4661,5955,36.52,24.35,uk,66.34
"teacher, primary school",manufacturing,increasing,high,44767.19,associate degree,16,5097,8399,34.19,18.82,australia,30.04
"engineer, building services",transportation,decreasing,moderate,69407.79,bachelor’s degree,3,3445,9482,32.49,23.87,australia,23.95
solicitor,education,decreasing,low,40551.06,phd,0,2611,1631,74.18,16.55,india,24.5
medical laboratory scientific officer,entertainment,increasing,high,63354.86,high school,18,9941,3930,74.66,11.65,china,23.8
teaching laboratory technician,education,increasing,moderate,148548.22,master’s degree,8,3571,3759,82.87,21.51,uk,27.11
"production assistant, television",finance,increasing,moderate,106424.86,phd,13,8281,132,3.21,69.33,australia,39.4
"conservator, furniture",education,decreasing,moderate,120299.96,associate degree,3,1079,7949,21.54,17.11,usa,66.49
dealer,manufacturing,decreasing,moderate,73356.25,bachelor’s degree,11,1272,4427,55.11,27.54,brazil,51.41
data processing manager,education,increasing,low,101088.01,high school,2,2079,7480,95.81,93.97,india,33.66
"engineer, electronics",entertainment,decreasing,low,97079.66,bachelor’s degree,13,5593,4057,96.42,34.33,china,77.66
statistician,transportation,increasing,high,80450.17,high school,16,6032,1463,1.82,37.86,uk,63.27
"administrator, arts",entertainment,decreasing,moderate,41304.36,bachelor’s degree,3,2801,4418,54.07,66.34,brazil,31.94
curator,finance,increasing,high,94073.97,phd,16,5808,6895,31.85,78.43,germany,65.82
"scientist, research (life sciences)",finance,increasing,high,35973.58,phd,12,2303,4068,30.43,46.9,brazil,62.4
product/process development scientist,education,increasing,moderate,70197.65,master’s degree,12,181,4654,5.99,17.46,australia,77.74
"psychologist, prison and probation services",manufacturing,decreasing,low,65380.72,phd,2,4322,8456,74.36,17.11,canada,33.55
technical author,education,increasing,low,80674.09,associate degree,18,2520,2754,51.43,97.64,canada,67.78
education administrator,healthcare,increasing,high,137368.28,high school,11,4755,4514,6.72,37.93,canada,77.84
midwife,education,decreasing,low,85873.46,associate degree,5,8090,3453,58.92,49.67,uk,27.06
ambulance person,finance,increasing,low,85845.66,bachelor’s degree,6,5770,2235,23.05,52.37,canada,74.37
primary school teacher,manufacturing,decreasing,low,105678.24,phd,10,8813,1364,73.01,19.68,uk,30.03
warden/ranger,healthcare,decreasing,moderate,34878.17,phd,7,520,9739,99.94,82.15,usa,52.42
early years teacher,entertainment,decreasing,low,86095.38,master’s degree,9,736,4588,10.85,97.07,germany,63.63
"horticulturist, amenity",it,decreasing,low,98105.59,phd,14,1461,1940,77.28,32.74,uk,46.54
agricultural consultant,retail,decreasing,moderate,97547.78,associate degree,1,8689,839,30.63,76.55,germany,24.02
careers information officer,it,increasing,high,84343.3,high school,18,2875,2881,27.82,31.92,china,29.21
"psychotherapist, dance movement",education,increasing,moderate,69425.52,phd,16,4877,1791,23.41,6.24,brazil,63.64
air traffic controller,transportation,increasing,moderate,134889.39,bachelor’s degree,10,898,2460,65.23,37.57,uk,52.11
"surveyor, building",it,decreasing,low,61112.71,bachelor’s degree,1,1750,4530,60.24,95.49,india,50.13
occupational therapist,transportation,decreasing,moderate,111451.16,master’s degree,0,4545,2904,3.97,16.85,germany,66.33
estate agent,education,decreasing,low,108864.29,high school,2,4575,146,25.42,87.39,australia,39.03
"scientist, marine",it,decreasing,low,111078.68,bachelor’s degree,3,6559,2131,14.89,39.94,canada,62.61
hydrogeologist,finance,decreasing,moderate,87356.7,associate degree,17,615,4458,66.13,49.44,china,78.78
pathologist,entertainment,increasing,high,51712.16,master’s degree,11,8136,1800,48.96,22.03,china,28.8
film/video editor,finance,decreasing,low,44447.12,master’s degree,18,156,7635,27.17,98.94,germany,78.2
clinical cytogeneticist,transportation,increasing,high,124141.91,master’s degree,14,5953,6663,87.24,24.44,china,32.43
"scientist, research (physical sciences)",retail,decreasing,low,35797.77,high school,8,6462,7124,20.68,3.49,uk,45.87
microbiologist,manufacturing,decreasing,low,95546.36,associate degree,16,3840,2422,59.19,3.04,germany,39.55
materials engineer,manufacturing,decreasing,moderate,112629.3,phd,5,8944,5931,97.73,35.55,india,31.36
"administrator, local government",finance,decreasing,moderate,114153.67,phd,1,6764,2125,99.49,56.8,germany,50.42
"pharmacist, hospital",finance,increasing,moderate,149227.89,high school,5,6794,6054,25.84,59.51,australia,56.09
training and development officer,education,increasing,high,127195.33,high school,6,8819,7631,9.68,88.48,india,44.96
market researcher,education,increasing,moderate,69739.52,bachelor’s degree,8,949,7679,77.08,66.51,australia,21.04
"engineer, energy",education,decreasing,low,127533.03,master’s degree,2,8850,9459,80.89,98.38,brazil,30.33
"engineer, automotive",manufacturing,increasing,moderate,93545.45,bachelor’s degree,19,1618,7386,80.5,16.93,germany,28.5
architectural technologist,manufacturing,decreasing,low,149674.55,bachelor’s degree,12,8805,1848,78.2,73.24,india,53.19
fisheries officer,entertainment,increasing,low,128447.2,phd,3,7588,1373,25.52,76.81,germany,29.6
"engineer, broadcasting (operations)",retail,decreasing,low,30120.54,high school,7,1924,9733,73.11,0.08,australia,47.91
retail manager,it,decreasing,low,34126.97,master’s degree,0,5686,540,89.23,16.24,canada,44.68
estate agent,education,increasing,high,143025.96,master’s degree,12,4955,3405,87.19,94.87,canada,38.05
seismic interpreter,retail,decreasing,moderate,90301.96,bachelor’s degree,10,7115,9064,29.08,67.5,brazil,22.98
youth worker,retail,increasing,low,92342.34,bachelor’s degree,16,5553,8871,19.52,67.45,china,43.51
music tutor,education,increasing,moderate,62306.71,phd,7,5069,4643,17.48,23.59,china,22.8
personal assistant,education,increasing,low,77074.56,phd,13,8075,6175,68.21,30.69,usa,78.41
sub,healthcare,increasing,high,93966.73,high school,7,3556,7734,56.61,5.39,china,27.39
osteopath,finance,increasing,high,106583.9,master’s degree,11,6359,365,37.94,22.17,germany,74.5
"designer, jewellery",healthcare,increasing,high,135301.81,master’s degree,0,4567,5277,46.3,44.34,germany,55.76
horticultural therapist,healthcare,decreasing,moderate,138932.01,high school,13,8959,8129,75.54,56.45,uk,38.77
customer service manager,manufacturing,increasing,moderate,107414.71,phd,19,8071,8169,30.33,3.0,germany,29.72
wellsite geologist,it,decreasing,moderate,45340.58,bachelor’s degree,20,8191,3296,67.86,40.1,brazil,27.11
haematologist,transportation,increasing,moderate,31275.59,bachelor’s degree,16,5283,2657,11.79,93.4,brazil,46.88
sport and exercise psychologist,healthcare,increasing,moderate,107963.4,high school,19,1403,6001,53.23,11.58,brazil,70.1
chief operating officer,education,decreasing,high,56265.4,associate degree,13,7674,6214,85.27,43.08,brazil,37.91
nature conservation officer,transportation,increasing,high,114611.34,high school,17,1804,3047,42.29,77.72,usa,59.26
sports coach,education,increasing,moderate,147534.62,phd,15,2838,5770,71.53,48.73,germany,41.39
"scientist, research (maths)",transportation,decreasing,low,101126.81,phd,15,9972,7338,58.3,31.39,usa,78.48
photographer,finance,increasing,low,123453.03,associate degree,4,8697,3907,32.97,66.37,australia,54.26
public librarian,healthcare,decreasing,low,82598.49,high school,5,3440,7934,29.02,11.06,india,63.09
broadcast engineer,healthcare,increasing,high,57731.56,phd,6,910,3305,97.58,89.18,australia,26.09
youth worker,transportation,increasing,moderate,35227.45,bachelor’s degree,18,6978,497,0.96,19.91,china,26.56
music tutor,manufacturing,increasing,high,103866.64,associate degree,13,8991,9520,33.8,20.87,australia,79.28
"copywriter, advertising",retail,increasing,moderate,149945.86,bachelor’s degree,20,5312,7028,75.24,81.57,usa,36.33
occupational psychologist,finance,increasing,high,97234.4,high school,0,8658,9834,50.53,24.22,uk,51.81
sports administrator,transportation,decreasing,moderate,37394.44,phd,13,7708,2268,95.87,98.94,usa,79.8
restaurant manager,it,decreasing,low,121923.41,high school,18,8098,3773,36.7,54.66,uk,58.84
musician,entertainment,increasing,low,101935.92,bachelor’s degree,7,4872,159,10.33,1.54,germany,76.61
advertising account planner,manufacturing,decreasing,low,105809.23,high school,5,163,8052,90.14,95.31,australia,33.02
cabin crew,entertainment,increasing,moderate,112708.89,high school,12,5593,6236,91.56,51.98,australia,29.21
actuary,transportation,decreasing,low,34713.66,bachelor’s degree,0,7474,3135,67.8,84.51,australia,50.12
"nurse, learning disability",finance,decreasing,low,107840.76,phd,2,7757,3411,25.27,16.97,china,49.03
media buyer,entertainment,increasing,low,128863.86,associate degree,17,2563,6603,41.22,90.74,germany,74.35
sports therapist,healthcare,decreasing,low,72815.42,phd,4,4788,5159,55.64,38.37,india,40.68
"clinical scientist, histocompatibility and immunogenetics",transportation,decreasing,moderate,77287.78,bachelor’s degree,6,8818,6202,85.63,80.42,uk,37.62
"engineer, water",transportation,decreasing,high,66368.96,associate degree,17,1633,1604,56.88,62.92,india,55.81
"administrator, local government",healthcare,decreasing,low,81859.25,bachelor’s degree,7,8431,2826,39.7,57.15,canada,37.75
"buyer, industrial",education,increasing,high,141318.06,associate degree,13,1709,9169,32.81,95.19,india,50.69
"optician, dispensing",healthcare,decreasing,high,110871.68,associate degree,0,3688,7321,76.2,8.93,china,37.82
animal technologist,finance,increasing,high,116257.26,phd,15,2286,2859,71.46,19.55,germany,29.9
broadcast presenter,finance,increasing,moderate,114946.81,master’s degree,5,5667,8376,83.28,31.95,uk,38.37
further education lecturer,entertainment,increasing,low,122000.96,master’s degree,18,6313,4310,24.06,73.75,india,44.59
actor,manufacturing,decreasing,high,128186.42,associate degree,5,2310,9704,82.71,89.51,uk,42.4
acupuncturist,it,increasing,low,108653.07,phd,11,9626,2689,48.68,98.03,canada,26.44
"designer, exhibition/display",entertainment,decreasing,moderate,146937.68,phd,14,9712,979,54.72,18.0,usa,49.54
energy manager,it,decreasing,low,102460.87,phd,18,905,5036,83.37,19.59,uk,38.01
biomedical scientist,finance,increasing,moderate,56173.45,bachelor’s degree,15,9858,2431,17.36,51.58,usa,62.62
furniture conservator/restorer,manufacturing,increasing,high,113779.91,high school,6,7486,1485,10.3,92.3,canada,60.26
"editor, magazine features",retail,decreasing,high,79256.28,high school,19,2293,4549,64.08,41.24,canada,22.6
astronomer,it,decreasing,moderate,148100.94,high school,1,5511,3600,82.16,36.93,australia,26.04
acupuncturist,manufacturing,decreasing,high,85744.4,phd,15,3188,6524,49.01,18.28,australia,32.41
statistician,entertainment,increasing,moderate,45270.13,high school,11,8854,3213,38.3,72.75,brazil,33.6
art therapist,transportation,decreasing,moderate,45677.46,high school,13,2824,5884,11.61,76.62,usa,64.93
academic librarian,finance,increasing,high,80043.27,bachelor’s degree,15,1574,5499,95.4,68.08,india,74.62
diagnostic radiographer,it,increasing,low,50864.23,master’s degree,1,5086,2484,68.27,15.66,china,36.43
barrister,retail,increasing,high,101542.36,high school,14,2792,491,94.38,51.29,usa,24.46
early years teacher,healthcare,increasing,low,125516.22,associate degree,18,4192,333,50.2,17.09,australia,57.25
"geologist, engineering",transportation,increasing,low,81328.96,master’s degree,19,4238,4335,48.78,9.61,germany,24.31
theatre stage manager,education,increasing,low,94825.02,associate degree,17,7373,6040,20.75,10.61,china,31.42
meteorologist,finance,increasing,moderate,106643.85,phd,16,8874,8493,27.37,5.18,germany,52.09
horticultural consultant,transportation,increasing,high,54035.13,phd,8,5428,2706,91.89,38.95,australia,55.35
police officer,education,increasing,low,59325.45,master’s degree,7,8872,4782,15.02,4.97,china,79.56
"accountant, chartered",manufacturing,decreasing,high,52276.38,bachelor’s degree,10,2073,6792,12.77,96.41,usa,55.7
training and development officer,entertainment,decreasing,moderate,100149.94,high school,8,4131,2311,11.77,37.27,germany,21.83
agricultural engineer,finance,increasing,low,84487.17,master’s degree,18,9634,550,76.7,26.79,usa,61.94
computer games developer,retail,decreasing,high,146265.07,phd,0,5599,3162,84.85,27.25,usa,75.35
magazine features editor,education,decreasing,moderate,104177.97,associate degree,2,8388,4967,68.54,88.95,china,23.25
tour manager,it,decreasing,moderate,130293.51,master’s degree,3,8375,4780,62.36,22.45,china,48.82
"radiographer, therapeutic",it,increasing,high,66699.77,master’s degree,14,7340,5918,42.47,99.92,china,59.53
air cabin crew,entertainment,increasing,low,94686.78,high school,17,7590,8522,92.43,79.98,australia,79.95
dance movement psychotherapist,healthcare,increasing,low,105841.42,associate degree,15,9859,9332,28.22,40.17,brazil,47.36
"surveyor, mining",healthcare,increasing,high,149947.04,associate degree,8,1324,9730,71.25,5.01,usa,35.04
risk manager,healthcare,decreasing,moderate,68953.45,master’s degree,20,5046,5509,47.42,27.48,uk,41.66
press sub,finance,increasing,low,42287.89,associate degree,16,6198,4750,34.96,57.08,usa,63.79
community arts worker,entertainment,increasing,low,126218.33,master’s degree,2,4337,7020,98.48,98.44,canada,79.78
plant breeder/geneticist,it,increasing,high,31145.08,master’s degree,6,3566,5136,10.25,54.47,india,35.46
trade union research officer,retail,decreasing,moderate,72533.78,high school,5,9299,9755,56.16,27.78,usa,71.46
farm manager,healthcare,decreasing,low,130925.87,phd,19,3588,7660,71.81,10.28,canada,62.79
ergonomist,finance,increasing,moderate,86650.68,phd,2,2399,9173,28.59,2.89,india,26.36
it sales professional,education,decreasing,low,112445.95,bachelor’s degree,16,5893,7194,38.53,77.46,usa,25.86
psychiatric nurse,education,decreasing,high,95019.89,associate degree,4,5363,458,79.89,46.89,usa,48.18
fashion designer,it,decreasing,low,133967.29,bachelor’s degree,7,369,7151,53.58,86.82,germany,62.95
publishing copy,healthcare,decreasing,high,32474.71,phd,20,3867,8088,77.64,83.97,canada,46.94
aeronautical engineer,it,increasing,low,91520.5,associate degree,8,8822,7502,31.06,79.75,australia,62.7
operations geologist,transportation,increasing,high,66769.84,bachelor’s degree,9,5409,1688,59.77,10.23,brazil,40.87
english as a foreign language teacher,transportation,decreasing,high,130954.28,high school,19,7645,3979,30.41,52.34,uk,35.85
neurosurgeon,finance,increasing,low,57307.74,associate degree,4,9646,4793,87.45,8.72,uk,62.08
administrator,it,decreasing,low,84148.61,bachelor’s degree,16,786,7553,61.84,86.48,canada,69.49
graphic designer,it,decreasing,high,68697.97,bachelor’s degree,2,3976,3066,61.63,11.25,usa,77.56
marketing executive,entertainment,decreasing,low,54958.74,bachelor’s degree,1,6764,3767,47.77,96.4,india,46.96
"surveyor, quantity",entertainment,increasing,moderate,110008.5,bachelor’s degree,6,3778,3841,11.91,27.15,india,25.2
education administrator,education,decreasing,high,81147.26,high school,12,1993,7562,7.48,95.28,uk,63.82
careers information officer,finance,increasing,moderate,56133.92,associate degree,14,2046,9877,73.11,7.62,brazil,60.55
retail manager,healthcare,decreasing,moderate,94182.14,associate degree,14,6466,1892,80.46,84.25,canada,25.8
psychotherapist,finance,increasing,high,57350.22,phd,3,1458,4106,94.56,12.83,uk,28.86
passenger transport manager,retail,increasing,moderate,93174.91,high school,10,6631,380,11.13,16.75,canada,38.11
printmaker,it,decreasing,low,86077.44,high school,8,3831,5791,67.49,61.41,china,31.33
lawyer,finance,decreasing,high,99176.94,associate degree,15,7380,6394,35.76,12.12,india,58.15
podiatrist,retail,increasing,high,62140.29,master’s degree,3,7683,1041,67.28,46.57,india,74.24
"therapist, nutritional",it,increasing,moderate,115103.52,bachelor’s degree,4,5436,5512,52.38,4.39,usa,51.84
counsellor,healthcare,increasing,low,131937.15,bachelor’s degree,15,8528,9476,76.14,50.8,usa,39.77
passenger transport manager,retail,increasing,moderate,108205.33,associate degree,3,9526,1036,35.48,59.41,uk,36.85
emergency planning/management officer,manufacturing,decreasing,moderate,90457.11,high school,13,1667,9476,74.29,26.85,china,62.88
merchant navy officer,finance,increasing,high,143631.69,high school,4,1129,8514,73.39,88.8,germany,65.25
contractor,retail,decreasing,high,98099.42,phd,17,1481,1970,69.03,30.81,china,20.53
investment analyst,healthcare,decreasing,low,130021.49,bachelor’s degree,0,2225,3219,78.34,92.86,china,54.58
"therapist, art",education,decreasing,high,83468.81,phd,13,3629,1242,80.96,22.72,canada,58.66
furniture designer,retail,decreasing,moderate,43992.75,bachelor’s degree,4,5570,466,61.69,82.74,brazil,42.17
"engineer, communications",it,increasing,low,110003.9,associate degree,12,1679,1069,11.42,48.68,brazil,75.85
restaurant manager,it,increasing,low,114856.17,high school,4,9745,5317,71.47,17.67,usa,29.76
planning and development surveyor,manufacturing,decreasing,high,102750.23,master’s degree,1,9099,9206,73.0,4.89,germany,20.78
"conservator, museum/gallery",healthcare,decreasing,moderate,32196.66,bachelor’s degree,12,4554,7939,81.58,99.97,uk,26.77
garment/textile technologist,entertainment,decreasing,high,120693.08,high school,15,3748,7837,92.26,69.85,australia,59.29
"embryologist, clinical",retail,decreasing,high,61465.79,bachelor’s degree,15,5141,6562,6.03,76.72,australia,42.61
homeopath,transportation,decreasing,high,93055.67,bachelor’s degree,10,6700,2468,94.57,22.6,india,25.64
higher education careers adviser,manufacturing,decreasing,high,123079.82,high school,7,7249,6452,84.42,68.65,germany,20.26
"engineer, civil (contracting)",it,increasing,high,113787.26,high school,6,7055,5234,6.29,87.35,india,55.67
chief of staff,finance,increasing,low,84223.19,high school,8,594,9611,40.54,3.38,uk,77.63
passenger transport manager,finance,increasing,moderate,133695.64,phd,18,7878,9036,40.34,73.53,usa,27.14
land/geomatics surveyor,education,decreasing,moderate,73876.42,phd,8,1316,8753,45.68,90.6,brazil,40.92
animator,retail,increasing,low,113188.24,associate degree,0,6527,2396,72.18,51.25,australia,51.7
